Statistical profiling result from isolate-00000206CD5EB760-v8.log, (17389 ticks, 46 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name

 [JavaScript]:
   ticks  total  nonlib   name
      1    0.0%    0.0%  Handler: symbol("nonexistent_symbol" hash 27f9c056) {14}
      1    0.0%    0.0%  Handler: symbol("nonexistent_symbol" hash 27f9c056) {13}
      1    0.0%    0.0%  Handler: symbol("nonexistent_symbol" hash 27f9c056)
      1    0.0%    0.0%  Handler: symbol("bytesRead" hash 1de640f8)
      1    0.0%    0.0%  Handler: substr
      1    0.0%    0.0%  Handler: stderr
      1    0.0%    0.0%  Handler: slice
      1    0.0%    0.0%  Handler: results {1}
      1    0.0%    0.0%  Handler: results
      1    0.0%    0.0%  Handler: reqConfig {3}
      1    0.0%    0.0%  Handler: reqConfig {2}
      1    0.0%    0.0%  Handler: reqConfig {1}
      1    0.0%    0.0%  Handler: reqConfig
      1    0.0%    0.0%  Handler: replace {4}
      1    0.0%    0.0%  Handler: replace {3}
      1    0.0%    0.0%  Handler: replace {1}
      1    0.0%    0.0%  Handler: replace
      1    0.0%    0.0%  Handler: query
      1    0.0%    0.0%  Handler: push {1}
      1    0.0%    0.0%  Handler: push
      1    0.0%    0.0%  Handler: property
      1    0.0%    0.0%  Handler: previewNid
      1    0.0%    0.0%  Handler: previewDuration {1}
      1    0.0%    0.0%  Handler: previewDuration
      1    0.0%    0.0%  Handler: plainObjects
      1    0.0%    0.0%  Handler: options
      1    0.0%    0.0%  Handler: next {99}
      1    0.0%    0.0%  Handler: next {98}
      1    0.0%    0.0%  Handler: next {97}
      1    0.0%    0.0%  Handler: next {96}
      1    0.0%    0.0%  Handler: next {93}
      1    0.0%    0.0%  Handler: next {92}
      1    0.0%    0.0%  Handler: next {91}
      1    0.0%    0.0%  Handler: next {8}
      1    0.0%    0.0%  Handler: next {89}
      1    0.0%    0.0%  Handler: next {88}
      1    0.0%    0.0%  Handler: next {86}
      1    0.0%    0.0%  Handler: next {85}
      1    0.0%    0.0%  Handler: next {81}
      1    0.0%    0.0%  Handler: next {80}
      1    0.0%    0.0%  Handler: next {7}
      1    0.0%    0.0%  Handler: next {79}
